Тип                                       Подтип                                                                                          Претензия по продукту
Задолженность                             Не доволен действиями банка по взысканию задолженности                                          Потребительский кредит
Задолженность                             Не согласен с выставлением заключительного требования                                           Автокредит
Задолженность                             Не согласен с выставлением заключительного требования                                           Ипотека
Задолженность                             Не согласен с выставлением заключительного требования                                           Кредитная карта
Задолженность                             Не согласен с выставлением заключительного требования                                           Микрокредиты в МКК Уралсиб Финанс
Задолженность                             Не согласен с выставлением заключительного требования                                           Потребительский кредит
Задолженность                             Не согласен с образованием просроченной задолженности                                           POS-кредит
Задолженность                             Не согласен с образованием просроченной задолженности                                           Автокредит
Задолженность                             Не согласен с образованием просроченной задолженности                                           Ипотека
Задолженность                             Не согласен с образованием просроченной задолженности                                           Кредитная карта
Задолженность                             Не согласен с образованием просроченной задолженности                                           Микрокредиты в МКК Уралсиб Финанс
Задолженность                             Не согласен с образованием просроченной задолженности                                           Потребительский кредит
Задолженность                             Не согласен с образованием просроченной задолженности                                           Потребительский кредит (Ситибанк)
Задолженность                             Т-Банк                                                                                          Потребительский кредит
Закрытие карты                            Вопрос по закрытию                                                                              Дебетовая карта
Закрытие карты                            Не произошло закрытие карты и счета по заявлению                                                Дебетовая карта
Закрытие карты                            Не согласен с закрытием карты                                                                   Дебетовая карта
Закрытие кредитной карты                  Вопрос по закрытию                                                                              Кредитная карта
Закрытие кредитной карты                  Не произошло закрытие карты и счета по заявлению                                                Кредитная карта
Закрытие кредитной карты                  Не согласен с закрытием карты                                                                   Кредитная карта
Запрос непретензионного характера         Документы вне кредитного договора                                                               Микрокредиты в МКК Уралсиб Финанс
Запрос непретензионного характера         Документы по займу                                                                              Микрокредиты в МКК Уралсиб Финанс
Запрос непретензионного характера         Расторжение договора займа/страхования                                                          Микрокредиты в МКК Уралсиб Финанс
Запрос непретензионного характера         Справка                                                                                         Микрокредиты в МКК Уралсиб Финанс
Запрос непретензионного характера         Справка об остатке задолженности                                                                Микрокредиты в МКК Уралсиб Финанс
Изъятие карты                             Карта изъята БПТ                                                                                БПТ
Изъятие карты                             Карта изъята банкоматом                                                                         Банкомат
Интернет Банк/Мобильный Банк              Блокировка ДБО                                                                                  ДБО
Интернет Банк/Мобильный Банк              Не отображается продукт                                                                         ДБО
Интернет Банк/Мобильный Банк              Не работает Интернет Банк/Мобильный Банк                                                        ДБО
Интернет Банк/Мобильный Банк              Некорректная информация                                                                         ДБО
Интернет Банк/Мобильный Банк              Самозапрет в ДБО                                                                                ДБО
Категорийный кешбэк                       Не согласен с размером начисленных бонусов                                                      Программа лояльности/Акции
Категорийный кешбэк                       Неудобные/непонятные условия начисления/использования бонусов                                   Программа лояльности/Акции
Кешбэк за такси по ПУ                     Не поступил кешбэк                                                                              Программа лояльности/Акции
Кешбэк за такси по ПУ                     Не согласен с размером кешбека                                                                  Программа лояльности/Акции
Клиент РЕВО                               Нетиповое обращение                                                                             Микрокредиты в МКК Уралсиб Финанс
Коробочные полисы                         Оформление/сопровождение                                                                        Другие продукты Банка
Личный кабинет                            Вход в ЛК/отсутствие доступа                                                                    Микрокредиты в МКК Уралсиб Финанс
Личный кабинет                            Некорректное отображение информации в ЛК                                                        Микрокредиты в МКК Уралсиб Финанс
Личный кабинет                            Нет информации в ЛК                                                                             Микрокредиты в МКК Уралсиб Финанс
Мошенничество                             Клиент попал под влияние 3-х лиц                                                                Микрокредиты в МКК Уралсиб Финанс
Мошенничество                             Мошенничество 3-х лиц                                                                           Микрокредиты в МКК Уралсиб Финанс
Мошенничество                             Мошенничество сотрудников Банка                                                                 Микрокредиты в МКК Уралсиб Финанс
Мошенничество сотрудников                 Клиент не заключал договор                                                                      Мошенничество
Мошенничество сотрудников                 Клиент не совершал операции по снятию/переводу                                                  Мошенничество
Мошенничество третьих лиц                 Клиент не подавал заявку/не оформлял КК                                                         Мошенничество
Мошенничество третьих лиц                 Клиент не подавал заявку/не оформлял потребительский кредит                                     Мошенничество
Мошенничество третьих лиц                 Клиент не совершал операцию по карте/ картсчету                                                 Мошенничество
Мошенничество третьих лиц                 Клиент не совершал операцию по переводу д/с                                                     Мошенничество
Мошенничество третьих лиц                 Клиент попал под влияние 3-х лиц                                                                Мошенничество
Мошенничество третьих лиц                 Мошенничество в ДБО                                                                             Мошенничество
Недовольство Сайтом Банка                 Отсутствие/недостоверная информация на сайте банка                                              Сайт банка
Несогласие с транзакцией                  Клиент не совершал операцию по карте                                                            Кредитная карта
Несогласие с транзакцией                  Клиент не совершал операцию по карте/картсчету                                                  Дебетовая карта
Несогласие с транзакцией                  Клиент попал под влияние 3-х лиц                                                                Мошенничество
Обслуживание в контакт-центре             Благодарность. Действия сотрудника                                                              Сервис
Обслуживание в контакт-центре             Длительное ожидание на линии                                                                    Сервис
Обслуживание в контакт-центре             Жалоба на сотрудника КЦ                                                                         Сервис
Обслуживание в контакт-центре             Некорректная консультация КЦ                                                                    Сервис
Обслуживание в офисах                     Благодарность. Действия сотрудника                                                              Сервис
Обслуживание в офисах                     Жалоба на офис                                                                                  Сервис
Обслуживание в офисах                     Жалоба на сотрудника                                                                            Сервис
Обслуживание в офисах                     Некорректная консультация ТП                                                                    Сервис
Обслуживание в офисах                     Операция в кассе ДО                                                                             Сервис
Обслуживание в профильных подразделениях  Жалоба на сотрудников                                                                           Сервис
Обслуживание по карте                     Mir Pass                                                                                        Дебетовая карта
Обслуживание по карте                     Договор переуступлен по цессии                                                                  Кредитная карта
Обслуживание по карте                     Клиент не согласен с удержанием НДФЛ                                                            Дебетовая карта
Обслуживание по карте                     Кредитный лимит                                                                                 Кредитная карта
Обслуживание по карте                     Не доволен тарифами / тарифной политикой / условиями договора                                   Дебетовая карта
Обслуживание по карте                     Не доволен тарифами / тарифной политикой банка / условиями договора                             Кредитная карта
Обслуживание по карте                     Не согласен с безакцептным списанием по договору                                                Кредитная карта
Обслуживание по карте                     Не согласен с изменением процентной ставки                                                      Кредитная карта
Обслуживание по карте                     Не согласен с конвертацией / курсовой разницей                                                  Дебетовая карта
Обслуживание по карте                     Не согласен с начисленными процентами                                                           Дебетовая карта
Обслуживание по карте                     Не согласен с начисленными процентами                                                           Кредитная карта
Обслуживание по карте                     Не согласен с образованием просроченной задолженности                                           Кредитная карта
Обслуживание по карте                     Некорректные данные по кредитной истории в БКИ                                                  Кредитная карта
Обслуживание по карте                     Несвоевременное зачисление денежных средств                                                     Дебетовая карта
Обслуживание по карте                     Несвоевременное зачисление денежных средств                                                     Кредитная карта
Обслуживание по карте                     Несогласие с образованием технической / дебиторской задолженности                               Дебетовая карта
Обслуживание по карте                     Несогласие с образованием технической / дебиторской задолженности                               Кредитная карта
Обслуживание по карте                     Обнуление кредитного лимита                                                                     Кредитная карта
Обслуживание по карте                     Отказ/ошибка в проведении операций по карте                                                     Дебетовая карта
Обслуживание по карте                     Отмена ежегодной комиссии за РКО                                                                Дебетовая карта
Обслуживание по карте                     Отмена ежемесячной комиссии за РКО                                                              Дебетовая карта
Обслуживание по карте                     Отмена комиссии за РКО                                                                          Кредитная карта
Обслуживание по карте                     Отмена комиссии за обслуживание неактивного картсчета                                           Дебетовая карта
Обслуживание по карте                     Отмена процентов льготного периода                                                              Кредитная карта
Обслуживание по карте                     Отмена разовой комиссии за РКО                                                                  Дебетовая карта
Обслуживание по карте                     Перевод не дошел до получателя                                                                  Кредитная карта
Обслуживание по карте                     Платеж / перевод не исполнен / исполнен несвоевременно                                          Дебетовая карта
Обслуживание по карте                     Платеж / перевод не исполнен / исполнен несвоевременно                                          Кредитная карта
Обслуживание по карте                     Проблема с 3-D secure / не приходят Смс / Push                                                  Дебетовая карта
Обслуживание по карте                     Проблема с 3-D secure / не приходят Смс / Push                                                  Кредитная карта
Обслуживание по карте                     Проблема с активацией карты                                                                     Дебетовая карта
Обслуживание по карте                     Проблема с выпуском / перевыпуском карты                                                        Кредитная карта
Обслуживание по карте                     Проблема с перевыпуском карты                                                                   Дебетовая карта
Обслуживание по карте                     Разблокировка средств по операции                                                               Дебетовая карта
Обслуживание по карте                     Разблокировка средств по операции                                                               Кредитная карта
Обслуживание по карте                     Справки                                                                                         Кредитная карта
Обслуживание по карте                     nan                                                                                             Кредитная карта
Отзыв персональных данных                 Отзыв согласия на обработку персональных данных                                                 Персональные данные
Оформление                                Клиент введен в заблуждение                                                                     Микрокредиты в МКК Уралсиб Финанс
Оформление                                Не согласен с отказом по заявке / не сообщили причину отказу                                    POS-кредит
Оформление                                Не согласен с отказом по заявке / не сообщили причину отказу                                    Автокредит
Оформление                                Не согласен с отказом по заявке / не сообщили причину отказу                                    Ипотека
Оформление                                Не согласен с отказом по заявке / не сообщили причину отказу                                    Потребительский кредит
Оформление                                Не соответствие условий офера фактически выданному займу                                        Микрокредиты в МКК Уралсиб Финанс
Оформление                                Не устраивают сроки рассмотрения заявки                                                         Автокредит
Оформление                                Не устраивают сроки рассмотрения заявки                                                         Ипотека
Оформление                                Не устраивают сроки рассмотрения заявки                                                         Потребительский кредит
Оформление                                Отсутствие предложения в ЕФС                                                                    Микрокредиты в МКК Уралсиб Финанс
Оформление                                Региональные программы                                                                          Ипотека
Оформление                                Т-Банк                                                                                          Потребительский кредит
Оформление и Активация                    Не согласен с отказом по заявке / не сообщили причину отказа                                    Дебетовая карта
Оформление и Активация                    Не согласен с отказом по заявке / не сообщили причину отказа                                    Кредитная карта
Оформление и Активация                    Не устраивают сроки рассмотрения заявки                                                         Кредитная карта
Оформление и Активация                    Проблема с активацией карты                                                                     Дебетовая карта
Оформление и Активация                    Проблема с активацией карты                                                                     Кредитная карта
Оформление и Активация                    Проблема с получением карты в ДО                                                                Дебетовая карта
Оформление и Активация                    Проблемы с доставкой/получением карты через КС                                                  Дебетовая карта
Оформление и Активация                    Проблемы с доставкой/получением карты через КС                                                  Кредитная карта
Оформление и Активация                    Проблемы с заявкой на карту                                                                     Дебетовая карта
Перевод без открытия счета                Не доволен Тарифами                                                                             Денежные переводы
Перевод без открытия счета                Не доволен сроками перевода                                                                     Денежные переводы
Перевод без открытия счета                Не согласен с переводом                                                                         Денежные переводы
Перевод без открытия счета                Перевод не дошел до получателя                                                                  Денежные переводы
Перевод по реквизитам                     Не доволен Тарифами                                                                             Денежные переводы
Перевод по реквизитам                     Не доволен сроками перевода                                                                     Денежные переводы
Перевод по реквизитам                     Не согласен с переводом                                                                         Денежные переводы
Перевод по реквизитам                     Перевод не дошел до получателя                                                                  Денежные переводы
Перевод с карты на карту                  Не доволен Тарифами                                                                             Денежные переводы
Перевод с карты на карту                  Не доволен сроками перевода                                                                     Денежные переводы
Перевод с карты на карту                  Не согласен с переводом                                                                         Денежные переводы
Перевод с карты на карту                  Перевод не дошел до получателя                                                                  Денежные переводы
Перевод с карты на карту                  Перевод с карты на карту                                                                        Денежные переводы
Персональные данные                       Звонки / СМС / письма другому клиенту (3-е лицо) - задолженность / взыскание                    Микрокредиты в МКК Уралсиб Финанс
Персональные данные                       Звонки / СМС / письма другому клиенту (3-е лицо) - рекламные рассылки (маркетинг)               Микрокредиты в МКК Уралсиб Финанс
Персональные данные                       Отзыв согласия на обработку персональных данных                                                 Микрокредиты в МКК Уралсиб Финанс
Продукты ООО "Твой Брокер"                Навязали оформление договора                                                                    Партнерские продукты
Продукты ООО "Твой Брокер"                Некорректная / неполная консультация по услуге сотрудником Банка                                Партнерские продукты
Продукты ООО "Твой Брокер"                Проблемы с выплатами                                                                            Партнерские продукты
Просроченная задолженность                Заплатил вовремя, но возникла просрочка (платил через ДБО / партнеров / по межбанку)            Микрокредиты в МКК Уралсиб Финанс
Просроченная задолженность                Заплатил вовремя, но возникла просрочка (через отделение Банка)                                 Микрокредиты в МКК Уралсиб Финанс
Просроченная задолженность                Недовольство звонками КА (грубое общение)                                                       Микрокредиты в МКК Уралсиб Финанс
Просроченная задолженность                Недовольство звонками КА (знает о просрочке, просит не напоминать)                              Микрокредиты в МКК Уралсиб Финанс
Просроченная задолженность                Недовольство звонками КА (нарушение закона по количеству звонков / СМС)                         Микрокредиты в МКК Уралсиб Финанс
Просроченная задолженность                Нет просроченной задолженности, но поступают СМС/звонки от КА                                   Микрокредиты в МКК Уралсиб Финанс
Просроченная задолженность                Требование о взыскании задолженности в судебном порядке                                         Микрокредиты в МКК Уралсиб Финанс
Разглашение персональных данных           Не доволен тарифами / тарифной политикой / условиями договора                                   Дебетовая карта
Разглашение персональных данных           Разглашение персонал. данных                                                                    Персональные данные
Рассмотрение обращений                    Не согласен с отказом по претензии                                                              Претензионная работа
Рассмотрение обращений                    Нет ответа на обращение                                                                         Претензионная работа
Рекламная рассылка                        Звонки / СМС / письма клиенту - рекламные рассылки /маркетинг/                                  Персональные данные
Реструктур-ция/Рефинан-ние                Вопрос по отсрочке платежей/реструктуризации                                                    Автокредит
Реструктур-ция/Рефинан-ние                Вопрос по отсрочке платежей/реструктуризации                                                    Ипотека
Реструктур-ция/Рефинан-ние                Вопрос по отсрочке платежей/реструктуризации                                                    Кредитная карта
Реструктур-ция/Рефинан-ние                Вопрос по отсрочке платежей/реструктуризации                                                    Потребительский кредит
Реструктур-ция/Рефинан-ние                Вопрос по отсрочке платежей/реструктуризации                                                    Потребительский кредит (Ситибанк)
Реструктур-ция/Рефинан-ние                Деклип                                                                                          Кредитная карта
Реструктур-ция/Рефинан-ние                Проблемы, связанные с Кредитными каникулами                                                     Автокредит
Реструктур-ция/Рефинан-ние                Проблемы, связанные с Кредитными каникулами                                                     Кредитная карта
Реструктур-ция/Рефинан-ние                Проблемы, связанные с Кредитными каникулами                                                     Потребительский кредит
Реструктур-ция/Рефинан-ние                Проблемы, связанные с ипотечными каникулами                                                     Ипотека
Реструктур-ция/Рефинан-ние                Проблемы, связанные с каникулами (клиент-участник СВО)                                          Автокредит
Реструктур-ция/Рефинан-ние                Проблемы, связанные с каникулами (клиент-участник СВО)                                          Ипотека
Реструктур-ция/Рефинан-ние                Проблемы, связанные с каникулами (клиент-участник СВО)                                          Кредитная карта
Реструктур-ция/Рефинан-ние                Проблемы, связанные с каникулами (клиент-участник СВО)                                          Потребительский кредит
Реструктур-ция/Рефинан-ние                Т-Банк                                                                                          Потребительский кредит
Реструктуризация                          Вопрос по отсрочке платежей                                                                     Микрокредиты в МКК Уралсиб Финанс
Реструктуризация                          Не согласен с отказом по заявке на реструктуризацию                                             Микрокредиты в МКК Уралсиб Финанс
Реструктуризация                          Проблемы, связанные с Кредитными каникулами (106-ФЗ)                                            Микрокредиты в МКК Уралсиб Финанс
Реструктуризация                          Проблемы, связанные с каникулами в связи с мобилизацией (377-ФЗ)                                Микрокредиты в МКК Уралсиб Финанс
СБП-Система быстрых переводов             Не доволен СБП                                                                                  Денежные переводы
СБП. Не согласие с операцией              Клиент не совершал операцию по карте/картсчету                                                  Денежные переводы
СБП. Не согласие с операцией              Клиент просит отменить операцию по переводу                                                     Денежные переводы
СБП. Прочие вопросы                       Вопрос по параметрам СБП                                                                        Денежные переводы
СБП. Прочие вопросы                       Не работает перевод                                                                             Денежные переводы
СБП. Прочие вопросы                       Не согласен с тарифами                                                                          Денежные переводы
Сервис                                    Грубость / хамство в диалоге при взыскании                                                      Автокредит
Сервис                                    Грубость / хамство в диалоге при взыскании                                                      Ипотека
Сервис                                    Грубость / хамство в диалоге при взыскании                                                      Микрокредиты в МКК Уралсиб Финанс
Сервис                                    Жалоба. Грубость / хамство в диалоге при взыскании                                              Кредитная карта
Сервис                                    Жалоба. Грубость / хамство в диалоге при взыскании                                              Потребительский кредит
Сервис                                    Некорректная / неполная консультация по услуге сотрудником ТП                                   Микрокредиты в МКК Уралсиб Финанс
Сервис                                    Некорректная / неполная консультация сотрудником КЦ                                             Дебетовая карта
Сервис                                    Некорректная / неполная консультация сотрудником КЦ                                             Денежные переводы
Сервис                                    Некорректная / неполная консультация сотрудником КЦ                                             Кредитная карта
Сервис                                    Некорректная / неполная консультация сотрудником КЦ                                             Микрокредиты в МКК Уралсиб Финанс
Сервис                                    Некорректная / неполная консультация сотрудником ТП                                             Вклад/Депозит/Накопит.счет
Сервис                                    Некорректная / неполная консультация сотрудником ТП                                             Ипотека
Сервис                                    Отсутствие обратной связи по запросу                                                            Микрокредиты в МКК Уралсиб Финанс
Сервис                                    Предложение по улучшению услуги                                                                 Автокредит
Сервис                                    Предложение по улучшению услуги                                                                 Вклад/Депозит/Накопит.счет
Сервис                                    Предложение по улучшению услуги                                                                 ДБО
Сервис                                    Предложение по улучшению услуги                                                                 Дебетовая карта
Сервис                                    Предложение по улучшению услуги                                                                 Ипотека
Сервис                                    Предложение по улучшению услуги                                                                 Кредитная карта
Сервис                                    Предложение по улучшению услуги                                                                 Потребительский кредит
Сервис                                    Предложение по улучшению услуги                                                                 Сайт банка
Сервис                                    Т-Банк                                                                                          Потребительский кредит
Сопровождение договора                    Вклад с программой долгосрочных сбережений                                                      Вклад/Депозит/Накопит.счет
Сопровождение договора                    Договор переуступлен по цессии                                                                  Автокредит
Сопровождение договора                    Договор переуступлен по цессии                                                                  Ипотека
Сопровождение договора                    Договор переуступлен по цессии                                                                  Потребительский кредит
Сопровождение договора                    Клиент не согласен с удержанием НДФЛ                                                            Вклад/Депозит/Накопит.счет
Сопровождение договора                    Клиент не согласен с удержанием НДФЛ                                                            Потребительский кредит
Сопровождение договора                    Не доволен тарифами / тарифной политикой банка / условиями договора                             Вклад/Депозит/Накопит.счет
Сопровождение договора                    Не согласен с безакцептным списанием по договору                                                Автокредит
Сопровождение договора                    Не согласен с безакцептным списанием по договору                                                Ипотека
Сопровождение договора                    Не согласен с безакцептным списанием по договору                                                Микрокредиты в МКК Уралсиб Финанс
Сопровождение договора                    Не согласен с безакцептным списанием по договору                                                Потребительский кредит
Сопровождение договора                    Не согласен с безакцептным списанием по договору                                                Потребительский кредит (Ситибанк)
Сопровождение договора                    Не согласен с блокировкой счета                                                                 Вклад/Депозит/Накопит.счет
Сопровождение договора                    Не согласен с изменением процентной ставки                                                      Автокредит
Сопровождение договора                    Не согласен с изменением процентной ставки                                                      Ипотека
Сопровождение договора                    Не согласен с изменением процентной ставки                                                      Потребительский кредит
Сопровождение договора                    Не согласен с изменением процентной ставки при досрочном расторжении                            Вклад/Депозит/Накопит.счет
Сопровождение договора                    Не согласен с размером начисленных процентов                                                    POS-кредит
Сопровождение договора                    Не согласен с размером начисленных процентов                                                    Автокредит
Сопровождение договора                    Не согласен с размером начисленных процентов                                                    Вклад/Депозит/Накопит.счет
Сопровождение договора                    Не согласен с размером начисленных процентов                                                    Ипотека
Сопровождение договора                    Не согласен с размером начисленных процентов                                                    Потребительский кредит
Сопровождение договора                    Не согласен с размером начисленных процентов                                                    Потребительский кредит (Ситибанк)
Сопровождение договора                    Не согласен с условиями заключенного договора                                                   Вклад/Депозит/Накопит.счет
Сопровождение договора                    Не согласен с условиями заключенного договора / Не доволен тарифами / тарифной политикой банка  Микрокредиты в МКК Уралсиб Финанс
Сопровождение договора                    Не согласен с условиями заключенного договора/Не доволен тарифами/Тарифной политикой            POS-кредит
Сопровождение договора                    Не согласен с условиями заключенного договора/Не доволен тарифами/Тарифной политикой            Автокредит
Сопровождение договора                    Не согласен с условиями заключенного договора/Не доволен тарифами/Тарифной политикой            Ипотека
Сопровождение договора                    Не согласен с условиями заключенного договора/Не доволен тарифами/Тарифной политикой            Потребительский кредит
Сопровождение договора                    Не согласен с условиями заключенного договора/Не доволен тарифами/Тарифной политикой            Потребительский кредит (Ситибанк)
Сопровождение договора                    Негативная информация                                                                           Микрокредиты в МКК Уралсиб Финанс
Сопровождение договора                    Неисполнение/некорректное исполнение Банком полного/частичного досрочного пог-я                 Микрокредиты в МКК Уралсиб Финанс
Сопровождение договора                    Неисполнение/некорректное исполнение Банком полного/частичного досрочного погашения             POS-кредит
Сопровождение договора                    Неисполнение/некорректное исполнение Банком полного/частичного досрочного погашения             Автокредит
Сопровождение договора                    Неисполнение/некорректное исполнение Банком полного/частичного досрочного погашения             Ипотека
Сопровождение договора                    Неисполнение/некорректное исполнение Банком полного/частичного досрочного погашения             Потребительский кредит
Сопровождение договора                    Неисполнение/некорректное исполнение Банком полного/частичного досрочного погашения             Потребительский кредит (Ситибанк)
Сопровождение договора                    Некорректные данные по кредитной истории в БКИ                                                  POS-кредит
Сопровождение договора                    Некорректные данные по кредитной истории в БКИ                                                  Автокредит
Сопровождение договора                    Некорректные данные по кредитной истории в БКИ                                                  Ипотека
Сопровождение договора                    Некорректные данные по кредитной истории в БКИ                                                  Микрокредиты в МКК Уралсиб Финанс
Сопровождение договора                    Некорректные данные по кредитной истории в БКИ                                                  Потребительский кредит
Сопровождение договора                    Некорректные данные по кредитной истории в БКИ                                                  Потребительский кредит (Ситибанк)
Сопровождение договора                    Обслуживание валютного счета                                                                    Вклад/Депозит/Накопит.счет
Сопровождение договора                    Отказ от Своей ставки                                                                           Автокредит
Сопровождение договора                    Отказ от Своей ставки                                                                           Потребительский кредит
Сопровождение договора                    Проблемы с МФЦ, Росреестром и прочими третьими лицами                                           Ипотека
Сопровождение договора                    Проблемы с залогом (обременения, документы)                                                     Автокредит
Сопровождение договора                    Проблемы с залогом (обременения, документы)                                                     Ипотека
Сопровождение договора                    Проблемы с получением копии КД                                                                  POS-кредит
Сопровождение договора                    Промтрансбанк                                                                                   Вклад/Депозит/Накопит.счет
